realestateID,blockNo,lotNo,lotType,price,size,house,status
11,1,1,interior,5000000,250.00,2,available
12,1,2,corner,6000000,300.00,3,available
13,1,3,outer,4800000,240.00,1,reserved
14,1,4,corner,6500000,320.00,4,sold
15,1,5,corner,50000000,500.00,5,available
16,1,6,outer,7200000,200.00,2,available
17,1,7,corner,7800000,310.00,3,available
18,1,8,interior,8600000,220.00,1,reserved
19,1,9,outer,9000000,400.00,4,sold
110,1,10,interior,9500000,180.00,5,available
21,2,1,interior,5200000,260.00,3,available
22,2,2,corner,6200000,310.00,2,available
23,2,3,outer,5000000,245.00,1,reserved
24,2,4,corner,6700000,330.00,4,sold
25,2,5,corner,10300000,270.00,5,available
26,2,6,interior,11500000,290.00,3,available
27,2,7,corner,12500000,400.00,2,reserved
28,2,8,outer,13800000,410.00,1,sold
29,2,9,corner,14500000,220.00,4,available
210,2,10,interior,15000000,190.00,5,available
31,3,1,interior,5400000,270.00,1,available
32,3,2,corner,7000000,350.00,2,available
33,3,3,outer,16000000,380.00,5,reserved
34,3,4,corner,17500000,490.00,3,sold
35,3,5,corner,18000000,85.00,4,available
36,3,6,interior,19300000,140.00,2,available
37,3,7,corner,20000000,110.00,1,reserved
38,3,8,outer,21500000,500.00,5,sold
39,3,9,corner,22500000,135.00,3,available
310,3,10,interior,23500000,175.00,4,available
41,4,1,outer,24500000,225.00,2,available
42,4,2,corner,25000000,260.00,3,available
43,4,3,interior,26500000,340.00,5,reserved
44,4,4,corner,27500000,280.00,4,sold
45,4,5,corner,28500000,100.00,1,available
46,4,6,interior,29500000,240.00,2,available
47,4,7,corner,30500000,375.00,3,reserved
48,4,8,outer,31500000,90.00,5,sold
49,4,9,corner,32500000,200.00,4,available
410,4,10,interior,33500000,155.00,1,available
51,5,1,interior,34500000,420.00,2,available
52,5,2,corner,35000000,260.00,3,available
53,5,3,outer,36500000,130.00,5,reserved
54,5,4,corner,37500000,490.00,4,sold
55,5,5,corner,38500000,135.00,1,available
56,5,6,interior,39500000,200.00,2,available
57,5,7,corner,40500000,90.00,3,reserved
58,5,8,outer,41500000,160.00,5,sold
59,5,9,corner,42500000,175.00,4,available
510,5,10,interior,43500000,225.00,1,available
61,6,1,outer,44500000,490.00,2,available
62,6,2,corner,45000000,260.00,3,available
63,6,3,interior,46500000,220.00,5,reserved
64,6,4,corner,47500000,180.00,4,sold
65,6,5,corner,48500000,150.00,1,available
66,6,6,interior,49500000,340.00,2,available
